Account_id,Name,Channel,Timestamp,Credit/Debit,Amount
1201201,W6>,online,6/17/2013,C,$31
1201202,724,mobile,7/24/2014,D,$16
1201203,0RN,branch,10/11/2012,C,$21
1201204,>S@,mobile,6/5/2012,C,$32
1201205,T?5,mobile,7/11/2014,D,$31
1201206,;LV,mobile,6/20/2014,C,$24
1201207,I??,online,9/16/2014,D,$13
1201208,Y1U,online,7/23/2014,C,$32
1201209,-Y6,online,10/26/2012,C,$11
1201210,-DD,online,6/17/2012,C,$28
1201211,HKW,mobile,9/19/2014,D,$49
1201212,DBE,mobile,8/22/2014,D,$21
1201213,M-.,online,7/28/2014,C,$48
1201214,G?9,mobile,8/11/2014,D,$8
1201215,9@C,branch,8/21/2012,C,$20
1201216,=5.,mobile,12/9/2012,C,$20
1201217,0<T,mobile,9/27/2013,D,$3
1201218,<YE,mobile,11/5/2013,C,$23
1201219,EZB,online,7/23/2013,D,$21
1201220,VN2,online,3/6/2012,C,$24
1201221,T5K,online,1/27/2012,C,$13
1201222,04A,online,1/4/2014,C,$2
1201223,L-F,mobile,10/2/2013,D,$48
1201224,L.X,mobile,7/7/2014,D,$38
1201225,P/R,online,4/28/2014,C,$19
1201226,A57,mobile,11/21/2012,D,$31
1201227,YTR,branch,5/19/2012,C,$37
1201228,<R.,mobile,3/6/2014,C,$11
1201229,0V;,mobile,8/15/2012,D,$34
1201230,?V:,online,1/1/2012,C,$36
1201231,V5F,mobile,10/2/2013,D,$42
1201232,SOB,branch,1/2/2014,C,$28
1201233,KJG,mobile,10/19/2013,C,$1
1201234,N6I,mobile,5/2/2012,C,$43
1201235,7.<,mobile,1/15/2014,D,$1
1201236,CUJ,online,10/7/2014,D,$36
1201237,O3E,online,5/22/2012,C,$47
1201238,D4>,online,4/23/2013,D,$11
1201239,=ZD,online,2/4/2014,C,$45
1201240,3@?,mobile,1/2/2014,C,$45
1201241,TSH,mobile,2/21/2014,D,$49
1201242,<66,online,9/7/2013,C,$24
1201243,:;R,mobile,3/14/2012,D,$50
1201244,Z9K,branch,11/2/2014,C,$5
1201245,=J1,mobile,11/26/2012,C,$36
1201246,F43,mobile,11/7/2013,C,$48
1201247,==V,mobile,4/2/2014,D,$28
1201248,K;W,online,6/24/2014,D,$17
1201249,GG;,online,5/14/2012,C,$12
1201250,;UO,online,1/19/2014,D,$13
1201251,TWW,online,3/1/2014,C,$27
1201252,J?Q,mobile,4/22/2013,C,$2
1201253,OPS,mobile,1/12/2012,D,$17
1201254,G71,online,8/10/2013,C,$27
1201255,L>V,mobile,4/23/2014,D,$32
1201256,I;G,branch,5/4/2013,C,$25
1201257,ZI:,mobile,6/7/2014,C,$47
1201258,M6-,mobile,6/25/2012,C,$17
1201259,1I@,online,7/18/2012,D,$22
1201260,Z:Y,mobile,4/19/2013,D,$7
1201261,;GK,branch,10/6/2014,C,$16
1201262,A<E,mobile,4/24/2012,D,$24
1201263,UFV,mobile,9/19/2014,C,$8
1201264,A.@,mobile,12/2/2013,C,$37
1201265,3SQ,online,1/3/2014,D,$18
1201266,KO=,online,1/25/2012,C,$33
1201267,DAE,online,7/9/2012,D,$29
1201268,<Z1,online,1/5/2012,C,$38
1201269,=RO,mobile,4/10/2012,C,$31
1201270,Y/;,mobile,5/8/2012,C,$15
1201271,.EV,online,7/12/2013,D,$28
1201272,OR>,mobile,4/14/2013,D,$9
1201273,GZQ,branch,5/18/2012,C,$15
1201274,D0F,mobile,7/19/2013,D,$19
1201275,0GR,mobile,6/6/2012,C,$50
1201276,9K@,mobile,6/12/2012,C,$6
